molecule_chembl_id,target_chembl_id,pchembl_value,year,label,smiles,split
CHEMBL100334,CHEMBL220,6.92,2010.0,6.92,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,train
CHEMBL100366,CHEMBL220,6.11,1997.0,6.11,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12,train
CHEMBL100510,CHEMBL220,7.0,2010.0,7.0,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,train
CHEMBL101028,CHEMBL220,6.0,2010.0,6.0,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,train
CHEMBL101155,CHEMBL220,5.96,2010.0,5.96,CN(CCOCCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,train
CHEMBL101482,CHEMBL220,3.0,1997.0,3.0,CCC(C)CSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL101518,CHEMBL220,7.52,2010.0,7.52,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,train
CHEMBL101809,CHEMBL220,6.64,2010.0,6.64,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,train
CHEMBL101940,CHEMBL220,7.26,2010.0,7.26,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,train
CHEMBL101988,CHEMBL220,5.75,2010.0,5.75,CN(CCOCCNC(=S)Nc1ccc(Cl)cc1)Cc1ccccc1,train
CHEMBL102077,CHEMBL220,4.05,1997.0,4.05,CCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL102078,CHEMBL220,3.1505149978319906,1997.0,3.1505149978319906,CCCCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL102142,CHEMBL220,7.11,2010.0,7.11,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,train
CHEMBL102226,CHEMBL220,4.35,1997.0,4.35,CCCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL1025,CHEMBL220,5.22,2008.0,5.22,CC(C)OP(=O)(F)OC(C)C,test
CHEMBL102637,CHEMBL220,2.0,1997.0,2.0,CCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL103153,CHEMBL220,4.3,1997.0,4.3,CCc1ccccc1SC(=O)OCC[N+](C)(C)C.[Cl-],val
CHEMBL103873,CHEMBL220,5.609999999999999,1997.0,5.609999999999999,CCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL103890,CHEMBL220,4.4,1997.0,4.4,CCC(C)(C)SC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL103959,CHEMBL220,3.8005149978319905,1997.0,3.8005149978319905,CCc1ccc(SC(=O)OCC[N+](C)(C)C)cc1.[Cl-],val
CHEMBL104,CHEMBL220,4.71,,4.71,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,train
CHEMBL104334,CHEMBL220,6.19,1992.0,6.19,CN(C)Cc1ccc(CSCCNc2cc(Nc3ncccc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])o1,val
CHEMBL104355,CHEMBL220,6.19,1992.0,6.19,CN(C)Cc1ccc(CSCCNc2ccc(F)cc2[N+](=O)[O-])o1,train
CHEMBL104387,CHEMBL220,7.7,2011.0,7.7,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCCCC[n+]1cccc2ccccc21,train
CHEMBL104553,CHEMBL220,7.4,2011.0,7.4,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,train
CHEMBL104613,CHEMBL220,7.0,2011.0,7.0,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,test
CHEMBL104681,CHEMBL220,6.92,1992.0,6.92,CN(C)Cc1ccc(CSCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL104891,CHEMBL220,2.6505149978319906,1997.0,2.6505149978319906,CCCSC(=O)OCC[N+](C)(C)C.[Cl-],test
CHEMBL105017,CHEMBL220,7.1,2011.0,7.1,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCC[n+]1cccc2ccccc21,train
CHEMBL105257,CHEMBL220,8.0,2011.0,8.0,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCCCC[n+]1cccc2ccccc21,train
CHEMBL105537,CHEMBL220,3.8632794328435933,2011.0,3.8632794328435933,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,train
CHEMBL105742,CHEMBL220,5.7,2010.0,5.7,[Br-].[Br-].c1cc[n+](CCCCCCCCC[n+]2ccccc2)cc1,train
CHEMBL105874,CHEMBL220,7.9,2010.0,7.9,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,train
CHEMBL106082,CHEMBL220,6.2,1992.0,6.2,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3C#N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL106126,CHEMBL220,4.77,2004.0,4.77,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,train
CHEMBL106344,CHEMBL220,5.89,1992.0,5.89,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccn3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL106348,CHEMBL220,6.28,1992.0,6.28,CN(C)CCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],train
CHEMBL106418,CHEMBL220,5.92,1992.0,5.92,CCCCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],train
CHEMBL106782,CHEMBL220,6.58,1992.0,6.58,CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],train
CHEMBL106891,CHEMBL220,7.1,2010.0,7.1,O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,train
CHEMBL106932,CHEMBL220,6.36,1992.0,6.36,CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],train
CHEMBL106936,CHEMBL220,6.16,1992.0,6.16,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,test
CHEMBL107254,CHEMBL220,6.17,1992.0,6.17,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccc(F)cc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL107488,CHEMBL220,5.52,2018.0,5.52,Cc1c(C)c2ccc(OCc3cccc(O)c3)cc2oc1=O,train
CHEMBL107541,CHEMBL220,5.52,2018.0,5.52,Cc1ccccc1COc1ccc2c(C)c(C)c(=O)oc2c1,train
CHEMBL1076243,CHEMBL220,7.0,2009.0,7.0,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc1cc2ccc(Cl)cc2s1,val
CHEMBL1076259,CHEMBL220,6.57,2009.0,6.57,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccccc2s1,train
CHEMBL1076260,CHEMBL220,6.36,2009.0,6.36,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2cccnc2s1,train
CHEMBL1076550,CHEMBL220,2.701146923590293,2010.0,2.701146923590293,C(=C\C[n+]1ccccc1)\C[n+]1ccccc1.[Cl-].[Cl-],val
CHEMBL107673,CHEMBL220,6.51,1992.0,6.51,CN(C)Cc1ccc(CSCCNc2cc(NCc3cccnc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL107892,CHEMBL220,7.08,1992.0,7.08,CN(C)Cc1ccc(CSCCNc2cc(N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL1079905,CHEMBL220,5.19,2013.0,5.19,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,train
CHEMBL1080274,CHEMBL220,6.52,2009.0,6.52,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccsc2s1,train
CHEMBL1080386,CHEMBL220,4.522878745280337,2011.0,4.522878745280337,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)[C@@H]2N3C)cc1,train
CHEMBL1080631,CHEMBL220,6.28,2009.0,6.28,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,train
CHEMBL1080813,CHEMBL220,6.3,2009.0,6.3,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cccs1,train
CHEMBL1080814,CHEMBL220,6.75,2009.0,6.75,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc(Br)cs1,train
CHEMBL1081031,CHEMBL220,7.66,2022.0,7.66,CN1c2ccc(OC(=O)NC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,train
CHEMBL1081032,CHEMBL220,7.17,2022.0,7.17,CN1c2ccc(OC(=O)NCC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,train
CHEMBL1081124,CHEMBL220,3.196542884351586,2010.0,3.196542884351586,[Br-].[Br-].c1cc[n+](Cc2ccccc2C[n+]2ccccc2)cc1,train
CHEMBL1081125,CHEMBL220,2.6270879970298933,2010.0,2.6270879970298933,[Br-].[Br-].c1cc[n+](Cc2cccc(C[n+]3ccccc3)c2)cc1,test
CHEMBL1081126,CHEMBL220,2.812479279163537,2010.0,2.812479279163537,[Br-].[Br-].c1cc[n+](Cc2ccc(C[n+]3ccccc3)cc2)cc1,train
CHEMBL1081448,CHEMBL220,2.752026733638193,2010.0,2.752026733638193,[Cl-].[Cl-].c1cc[n+](COC[n+]2ccccc2)cc1,train
CHEMBL1081449,CHEMBL220,2.696803942579511,2010.0,2.696803942579511,[Br-].[Br-].c1cc[n+](CCOCC[n+]2ccccc2)cc1,train
CHEMBL1081613,CHEMBL220,2.640164517660112,2010.0,2.640164517660112,C(=C/C[n+]1ccccc1)\C[n+]1ccccc1.[Br-].[Br-],val
CHEMBL108163,CHEMBL220,6.19,1992.0,6.19,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,train
CHEMBL1081810,CHEMBL220,6.85,2010.0,6.85,[Br-].[Br-].c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1,test
CHEMBL1082081,CHEMBL220,6.02,2009.0,6.02,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OC(C)(C)C,test
CHEMBL1082082,CHEMBL220,6.6,2009.0,6.6,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OCc1ccccc1,train
CHEMBL1082419,CHEMBL220,6.8,2010.0,6.8,CCCCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,train
CHEMBL1082427,CHEMBL220,4.61,2010.0,4.61,CC(=O)N(C)c1cccc2n1cc(-c1ccc(OC(=O)N(C)C)cc1)[n+]2C.[Cl-],train
